ticker,tier,score,close,entry_low,entry_high,stop,target,rr,atr14,qty,capital_at_risk,rsi14,weekly_rsi,bb_rank,sector,sector_rank,trend,pullback,momentum,squeeze,vol,quality,sect_bonus,mtf_bonus,inst_bonus,penalty,rationale
SCHAEFFLER.NS,B,80,4132.0,4111.34,4140.26,3920.94,4554.13,2.0,140.71,24,5066.0,58.9,56.7,0.37,Consumer Cyclical,7,25,0,10,0,0,20,0,10,5,0,uptrend + rising MA + MACD flip + RS>idx + quality(20) + wkly RSI ok + accumulation
NAVINFLUOR.NS,B,75,6422.5,6390.39,6435.35,6082.16,7103.19,2.0,226.9,15,5105.0,58.3,59.9,0.65,Basic Materials,8,25,0,10,0,0,20,-5,10,5,5,uptrend + rising MA + MACD flip + RS>idx + quality(20) + wkly RSI ok + accumulation
GLENMARK.NS,B,70,2235.2,2224.02,2239.67,2137.57,2430.46,2.0,65.09,44,4296.0,59.6,64.4,0.68,Healthcare,10,25,0,10,0,0,15,-5,10,5,5,uptrend + rising MA + MACD flip + RS>idx + quality(15) + wkly RSI ok + accumulation
BEL.NS,B,70,455.35,453.07,456.26,437.63,490.79,2.0,11.81,219,3881.0,60.3,59.8,0.92,Industrials,6,25,0,10,0,0,20,0,10,5,10,uptrend + rising MA + MACD flip + RS>idx + quality(20) + wkly RSI ok + accumulation + penalty(-10)
UNIONBANK.NS,B,70,192.55,191.59,192.94,182.16,213.34,2.0,6.93,519,5394.0,60.1,64.2,0.65,Financial Services,4,25,0,10,0,0,10,0,10,5,0,uptrend + rising MA + MACD flip + RS>idx + quality(10) + wkly RSI ok + accumulation
AARTIIND.NS,B,65,454.5,452.23,455.41,431.08,501.35,2.0,15.62,220,5153.0,63.2,63.3,0.5,Basic Materials,8,25,0,10,0,0,10,-5,10,5,5,uptrend + rising MA + MACD flip + RS>idx + quality(10) + wkly RSI ok + accumulation
SUNTV.NS,B,65,648.7,645.46,650.0,612.16,721.79,2.0,24.36,154,5628.0,66.0,61.1,0.72,Communication Services,5,25,0,10,0,0,5,0,10,5,0,uptrend + rising MA + MACD flip + RS>idx + wkly RSI ok + accumulation
FEDERALBNK.NS,B,65,298.4,296.91,299.0,285.34,324.52,2.0,8.71,335,4376.0,64.1,65.3,0.72,Financial Services,4,25,0,10,0,0,15,0,0,5,0,uptrend + rising MA + MACD flip + RS>idx + quality(15) + accumulation
PHOENIXLTD.NS,B,65,1826.0,1816.87,1829.65,1737.53,2002.94,2.0,58.98,54,4777.0,68.3,58.2,1.0,Real Estate,2,25,0,10,0,0,10,10,10,10,10,uptrend + rising MA + MACD flip + quality(10) + hot sector + wkly RSI ok + accumulation + penalty(-10)
CANBK.NS,WATCH,60,144.59,143.87,144.88,137.67,158.44,2.0,4.62,691,4783.0,58.1,54.4,0.77,Financial Services,4,15,0,10,0,0,20,0,10,5,0,uptrend + MACD flip + quality(20) + wkly RSI ok + accumulation
BANKINDIA.NS,WATCH,60,151.07,150.31,151.37,142.82,167.56,2.0,5.5,661,5450.0,52.3,53.1,0.07,Financial Services,4,0,20,10,15,0,5,0,10,0,0,pullback + RSI rising + MACD flip + BB squeeze + wkly RSI ok
BHARATFORG.NS,WATCH,55,1884.0,1874.58,1887.77,1793.54,2064.92,2.0,60.31,53,4794.0,64.0,67.6,0.53,Consumer Cyclical,7,25,0,10,0,0,10,0,0,0,0,uptrend + rising MA + MACD flip + RS>idx + quality(10)
GICRE.NS,WATCH,55,394.7,392.73,395.49,375.77,432.57,2.0,12.62,253,4790.0,58.7,55.7,1.0,Financial Services,4,25,0,10,0,0,5,0,10,5,10,uptrend + rising MA + MACD flip + RS>idx + wkly RSI ok + accumulation + penalty(-10)
DIXON.NS,WATCH,55,11389.0,11332.06,11411.78,10799.75,12567.5,2.0,392.83,8,4714.0,60.9,44.6,0.52,Technology,1,10,0,10,0,0,15,10,5,5,0,MACD flip + quality(15) + hot sector + wkly RSI ok + accumulation
